NAMC_CODE,NAMC_term,NAMC _term_diacritical,Matched_IndexTerm,short_definition,long_definition,TM2 Code,Similarity_Score
EC-3.5,KAPAVATAJAJVARAH,kaphavātajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,jvara due to kapha and vāta ,"the disorder is characterized by śītaḥ [feeling of cold/chills], gauravam [heaviness], tandrā [drowsiness/lassitude], staimityam [a sensation of being covered with wet clothes], parvaṇāṁ ruk/ parvabhēdaḥ [pain in small joints], śirōgrahaḥ [stiffness of head], pratiśyāyaḥ [cold, catarrh], kāsaḥ [cough], svēdāpravartanam [absence of perspiration], saṁtāpaḥ [rise of temperature], madhyavēgajvaraḥ [moderate rise of temperature], nidrā [sleep], tāpahāniḥ [decrease in temperature], aruciḥ [tastelessness], śirōruk [headache], pīnasaḥ [cold, catarrh], śvasanaḥ [breathlessness/difficult breathing], vibandhaḥ [constipation], jāḍyam [dullness/frigidity/inactiveness], timiraḥ [blackouts], bhramaḥ [giddiness or dizziness] ",SP52,74.1
EC-3.6,VATAPITTAJAJVARAH,vātapittajajvaraḥ,(a) vātapittatṛtīyakajvaraḥ,jvara due to vāta and pitta ,"the disorder is characterized by śirōruk/śirōrujā/śirōrtiḥ [headache], parvabhēdaḥ [breaking type of pain in small joints], dāhaḥ [burning sensation], rōmapraharṣaḥ/rōmaharṣaḥ [horripilation], kaṇṭhaśōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], vamathuḥ/vamiḥ [vomiting], tr̥ṣṇā/tr̥ṭ [thirst], mūrcchā [syncope/attacks of swooning], bhramaḥ [giddiness or dizziness], aruciḥ [tastelessness], svapnanāśaḥ [insomnia], ati-vāk [excessive talking], jr̥mbhā [yawning], mōhaḥ [confusion/delirium], aratiḥ [distress/dicontent/restlessness], unnidratā [sleepless], stambhaḥ [rigidity/stiffness], tamaḥ [a feeling of darkness] ",SP57,72.72727272727273
EC-3.7,KAPAPITTAJAJVARAH,kaphapittajajvaraḥ,(a) kaphapittatṛtīyakajvaraḥ,jvara due to kapha and pitta ,"the disorder is characterized by muhurdāhō muhuḥ śītam [frequently changing feeling of burning sensation and cold], muhuḥ svēdō muhuḥ stambhaḥ [frequently changing sweating and feeling of stiffness], svēdastambhaḥ/svēdāpravartanam [supression of sweating], mōhaḥ [confusion/delirium], kāsaḥ [cough], aruciḥ [tastelessness], tr̥ṣṇā/tr̥094ḍ;ṣā [thirst], ślēṣmapravartanam [spitting of kapha], pittapravartanam [spitting of pitta], liptāsyatā [stickiness in the mouth], tiktāsyatā [a feeling of bitter taste in the mouth], tandrā [drowsiness/lassitude], śītāvyavasthā [no specific order of chills/cold], stambhāvyavasthā [no specific order of stiffness], svēdāvyavasthā [no specific order of sweating], dāhāvyavasthā [no specific order of burning sensation] ",SP57,73.91304347826086
EC-3.8,SANNIPATAJAJVARAH,sannipātajajvaraḥ,(a) sannipātaja-arśaḥ,jvara due to three dōṣa ,"the disorder is characterized by miśralakṣaṇam/sarvaliṁgāni/sarvalakṣaṇāni [clinical features of all types mentioned above], kṣaṇē dāhaḥ kṣaṇē śītama [frequently changing feeling of burning sensation and cold], karṇasvanaḥ [tinnitus], karṇarujā [otalgia], kāsaḥ [cough], gātrāṇāṁ na ati kr̥śatvam [not having emaciation], mūkatvam [dumbness/aphasia], udarasya gurutvam [heaviness of abdomen], nidrānāśaḥ [insomnia], bhramaḥ [giddiness or dizziness], śvāsaḥ [breathlessness/difficult breathing], tandrā [drowsiness/lassitude], suptāṁgatā [numbness of body], aruciḥ [tastelessness], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], stambhaḥ [rigidity/stiffness], dāhaḥ [burning sensation], śītaḥ [feeling of cold/chills], hr̥di-vyathā/hr̥dvyathā [precordial pain/cardiac pain], dōṣāṇāṁ cirēṇa paktiḥ [delayed suppuration of dōṣa], unmādaḥ [insanity], śyāvadantatā [brown reddish teeth], rasanāpāruṣyam [roughness of tongue], kr̥ṣṇarasanā [blackishness of tongue], sandhirujā [pain in the joints], mūrdhā-rujaḥmūrdhā-rujaḥ/śirōrujā [headache], asthirujā [pain in the bones], nirbhugna nētraḥ/nirbhugna-lōcanam [curved/stooping of eyes], kaluṣa-nētraḥ/lōcana-kaluṣatā [turbid eyes], śabdānvitakarṇaḥ/karṇasvanaḥ [tinnitus], rugānvitakarṇaḥ/karṇarujā [otalgia], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], srōtasāṁ pākaḥ [inflammation in srōtasa], kūjanam/pratataṁ kaṇṭhakūjanam [constant cooing sound from throat], cētanācyutiḥ [loss of conciousness], svēdasya alpaśaḥ srutiḥ/darśanam [minimal sweating], mūtrasya alpaśaḥ srutiḥ/darśanam [diminished micturition/oliguria], purīṣasya alpaśaḥ srutiḥ/darśanam [decreased defecation], svēdasya sucirāt/cirāt srutiḥ/darśanam [prolonged sweating], mūtrasya sucirāt/cirāt srutiḥ/darśanam [micturition after long time], purīṣasya sucirāt/cirāt srutiḥ/darśanam [defecation after long time], muhurmuhuḥ dāhaḥ [repeatedly burning], muhurmuhūḥ śītam [repeatedly cold/chills], mahānidrā divā [daytime excessive sleep], jāgaraṇam niśi [sleeplessness at night], sadā nidrā [always sleepiness], anidrā [sleeeplessness], mahāsvēdaḥ [severe perspiration], asvēdaḥ [anhidrosis/lack of sweating], vikr̥tagītanartanahāsyādipravartanam [purverted singing, dancing, laughing etc.], sāśruṇī akṣiṇī/sasrāvadarśam [watery eyes/eyes filled with tears], kaluṣākṣiṇī/kaluṣadarśanam [turbid eyes], raktākṣiṇī/raktadarśanam [reddish coloured eyes], bhugnākṣiṇī/nirbhugnadarśanam [curved/stooping of eyes], lulitapakṣmaṇī akṣiṇī [eyes with shaking/trembling eyelids], piṇḍikāruk [pain in calf muscles], pārśvaruk [pain in sides of chest/flanks], mūrdharuk/śirōrujā/śirasaḥ atiruk [severe headache], parvaruk/sandhirujā [pain in small joints], asthiruk/asthirujā [pain bones], śūkairivācitaḥ kaṇṭhaḥ/śūkairivāvr̥taḥ kaṇṭhaḥ [a sensation in the throat as if it is full of bristles], paridagdhajihvā [tongue looks alike burnt], kharajihvā [roughness of tongue], guru aṁgatā [heaviness of body], srastāṅgatā [flaccidity/laxity], srastasaṁdhitā [loose joints], raktaṣṭhīvanam [spitting of blood], pittaṣṭhīvanam [spitting of pitta], kaphaṣṭhīvanam/kaphōnmiśritaṣṭhīvanam [spitting of kapha], śirasō lōlanam/lōṭhanam śirasaḥ [wagging of head], kōṭhānāṁ darśanam [appearance of kōtha (urticarial rash)], śyāvamaṇḍalānāṁ darśanam [appearance of reddish brown circular patches], raktamaṇḍalānāṁ darśanam [appearance of reddish circular patches], malasaṁsaṁgaḥ [obstruction to passage of feces], alpaśaḥ malapravr̥ttiḥ [scanty feces], ati malapravr̥ttiḥ [excessive defecation], snigdhāsyatā [unctuous face], balabhraṁśaḥ [diminution of physical strength], svarasādaḥ [loss of voice], pratataṁ kaṇṭhakūjanam [constant cooing sound from throat] ",SM53,78.94736842105263
EC-3.8.6,PITTAKAPOLBANA-SANNIPATAJVARAH,pittakaphōlbaṇa-sannipātajvaraḥ,pittakṣayaḥ,pitta-kapha predominant sannipātajvara ,"the disorder is characterized by chardiḥ [vomiting], muhuḥ śaityam muhuḥ dāhaḥ [on and off chills and burning], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], asthivēdanā [bone pain] ",SR19,70.00000000000001
EC-3.8.7,HINAVATA-MADHYAPITTA-VRUDDHAKAPA-SANNIPATAJVARAH,hīnavāta-madhyapitta-vr̥ddhakapha-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,"vāta-depleted, pitta-aggravated, kapha-highly aggravated sannipātajvara ","the disorder is characterized by pratiśyāyaḥ [cold, catarrh], chardiḥ [vomiting], ālasyam [lethargy], tandrā [drowsiness/lassitude], aruciḥ [tastelessness], agnimārdavam [diminution of agni (digestive power)] ",SM53,71.05263157894737
EC-3.8.8,HINAVATA-MADHYAKAPA-VRUDDHAPITTA-SANNIPATAJVARAH,hīnavāta-madhyakapha-vr̥ddhapitta-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,"vāta-depleted, kapha-aggravated, pitta-highly aggravated sannipātajvara ","the disorder is characterized by hāridranētratvam [yellow coloured eyes], hāridramūtratvam [yellowish discoluration of urine], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], bhramaḥ [giddiness or dizziness], aruciḥ [tastelessness] ",SM53,71.05263157894737
EC-3.8.9,HINAPITTA-MADHYAVATA-VRUDDHAKAPA-SANNIPATAJVARAH,hīnapitta-madhyavāta-vr̥ddhakapha-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,"pitta-depleted, vāta-aggravated, kapha-highly aggravated sannipātajvara ","the disorder is characterized by śītakaḥ [chills], gauravam [heaviness], tandrā [drowsiness/lassitude], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], asthinaḥ atiruk [severe pain in bone], śirōsaḥ atiruk [severe headache] ",SM53,71.05263157894737
EC-3.8.10,HINAPITTA-MADHYAKAPA-VRUDDHAVATA-SANNIPATAJVARAH,hīnapitta-madhyakapha-vr̥ddhavāta-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,"pitta-depleted, kapha-aggravated, vāta-highly aggravated sannipātajvara ","the disorder is characterized by śirōruk [headache], vēpathuḥ [shivering/tremors], śvāsaḥ [breathlessness/difficult breathing], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], chardiḥ [vomiting], arōcakaḥ [tastelessnes] ",SM53,71.05263157894737
EC-3.8.11,HINAKAPA-MADHYAVATA-VRUDDHAPITTA-SANNIPATAJVARAH,hīnakapha-madhyavāta-vr̥ddhapitta-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,"kapha-depleted, vāta-aggravated, pitta-highly aggravated sannipātajvara ","the disorder is characterized by varcōbhēdaḥ [diarrhoea/loose motions], agnidaurbalyam [diminution of agni], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], aruciḥ [tastelessness], bhramaḥ [giddiness or dizziness] ",SM53,71.05263157894737
EC-3.8.12,HINAKAPA-MADHYAPITTA-VRUDDHAVATA-SANNIPATAJVARAH,hīnakapha-madhyapitta-vr̥ddhavāta-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,"kapha-depleted, pitta-aggravated, vāta-highly aggravated sannipātajvara ","the disorder is characterized by śvāsaḥ [breathlessness/difficult breathing], kāsaḥ [cough], pratiśyāyaḥ [cold, catarrh], mukhaśōṣaḥ [dryness of mouth], atipārśvaruk [severe pain in flanks] ",SM53,71.05263157894737
EC-3.8.13,VATAPITTAKAPAVRUDDHA-SANNIPATAJVARAH,vātapittakaphavr̥ddha-sannipātajvaraḥ,(a) sannipātaja-arśaḥ,jvara due to aggrevatedthree dōṣa ,the disorder is characterized by sannipātajvarasya liṁgam [] ,SM53,71.05263157894737
EC-3.8.18,ANTAKA-SANNIPATAJVARAH,antaka-sannipātajvaraḥ,nan,āntaka- sannipātajvara , ,nan,72.0
EC-3.8.27,PRALAPAKA-SANNIPATAJAJVARAH,pralāpaka-sānnipātajajvaraḥ,(a) pralāpakaḥ,pralāpaka- sannipātajvara , ,SQ00,70.43478260869566
EC-3.8.41,SAMASANNIPATAJVARAH,samasannipātajvaraḥ,(a) sannipātaja-arśaḥ,sannipātajvara due to equally aggravated three dōśa , ,SM53,75.0
EC-3.8.42,VISHAMASANNIPATAJVARAH,viṣamasannipātajvaraḥ,(a) sannipātaja-arśaḥ,sannipātajvara due to disproportionately aggravated three dōṣa , ,SM53,71.42857142857143
EC-3.9,AGANTUJVARAH,āgantujvaraḥ,(a) āgantujvaraḥ (b) Piṟavaẕi curam,jvara due to exogenous factor , ,SP59,90.0
EC-3.9.4.2,KAMAJAJVARAH,kāmajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,jvara due to desire ,"the disorder is characterized by dhyānabāhulyam [insensibility/meditatitve appearance], niḥśvāsabāhulyam [predominant expiration] ",SP52,73.28571428571429
EC-3.9.4.3,BAYAJAJVARAH,bhayajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,jvara due to fear ,the disorder is characterized by trāsaḥ [fear] ,SP52,74.34782608695652
EC-3.9.4.4,SOKAJAJVARAH,śōkajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,Bereavement triggered jvara ,the disorder is characterized by bāṣpabāhulyam [having more tears in eyes/tearful eyes] ,SP52,73.28571428571429
EC-3.9.4.5,KRODHAJAJVARAH,krōdhajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,jvara due to anger ,the disorder is characterized by bahusaṁrambhaḥ [excessive agitation/anger] ,SP52,71.25
EC-3.9.4.6,VISHAJAJVARAH,viṣajajvaraḥ,(a) viṣamajvaraḥ (b) Viṭṭuvarum curam (c) Ḥummā Dā’ira,jvara due to poison ,"the disorder is characterized by mūrcchā [syncope/attacks of swooning], mōhaḥ [confusion/delirium], madaḥ [intoxication], glāniḥ [fatigue in mind and body], santāpaḥ [burning sensation] ",SP57,82.5
EC-3.10,VISHAMAJVARAH,viṣamajvaraḥ,(a) viṣamajvaraḥ (b) Viṭṭuvarum curam (c) Ḥummā Dā’ira,intermittent pyrexia ,"the disorder is characterized by viṣamajvaravēgaḥ [irregular onset, remission and episodes of fever] ",SP57,90.0
EC-3.10.1,SATATA-VISHAMAJVARAH,satata-viṣamajvaraḥ,(a) satata-viṣamajvaraḥ,intermittent fever appearing twice daily ,"the disorder is characterized by dvau kālāvanuvartatē, ahōrātrē (jvarāgamaḥ) [fever spike twice in twenty four hours] ",SP57,95.0
EC-3.10.2,SANTATA-VISHAMAJVARAH,santata-viṣamajvaraḥ,(a) satata-viṣamajvaraḥ,continuous fever ,the disorder is characterized by avisargī jvaravēgaḥ [continuous fever without fall] ,SP57,88.37209302325581
EC-3.10.3,ANYEDYUSHKA-VISHAMAJVARAH,anyēdyuṣka-viṣamajvaraḥ,(a) anyedyuṣka-viṣamajvaraḥ,vishama jvara occurring once in a day ,"the disorder is characterized by ēkakālaṁ pravartatē, ahōrātrē (jvarāgamaḥ) [fever spike once in twenty four hours] ",SP57,88.0
EC-3.10.4,TRUTIYAKA-VISHAMAJVARAH,tr̥tīyaka-viṣamajvaraḥ,(a) tṛtīyaka-viṣamajvaraḥ,tertian fever ,"the disorder is characterized by jvaravēgaḥ, tutīyēऽhni [fever spike on alternate days i.e. 3rd day] ",SP57,85.1063829787234
EC-3.10.4.1,KAPAPITTATRUTIYAKAJVARAH,kaphapittatr̥tīyakajvaraḥ,(a) kaphapittatṛtīyakajvaraḥ,tritIyaka jvara due to kapha and pitta ,the disorder is characterized by trikagrāhī [stiffness of sacroiliac region] ,SP57,86.79245283018868
EC-3.10.4.2,VATAKAPATRUTIYAKAJVARAH,vātakaphatr̥tīyakajvaraḥ,(a) vātakaphatṛtīyakajvaraḥ,tritIyaka jvara due to vāta and kapha ,the disorder is characterized by pr̥ṣṭhāgrāhī [stiffness in pruśṭha (back)] ,SP57,86.27450980392157
EC-3.10.4.3,VATAPITTATRUTIYAKAJVARAH,vātapittatr̥tīyakajvaraḥ,(a) vātapittatṛtīyakajvaraḥ,tritIyaka jvara due to vāta and pitta ,the disorder is characterized by śirōgrāhī [stiffness of head/headache] ,SP57,86.27450980392157
EC-3.10.5,CATURTHAKA-VISHAMAJVARAH,caturthaka-viṣamajvaraḥ,"(a) caturthaka-viṣamajvaraḥ (c) Ḥummā al-Rib‘ , (c) Ṭaṭrā",quartan fever ,"the disorder is characterized by jvaravēgaḥ, caturthēऽhni [fever spike on every fourth day] ",SP57,90.0
EC-3.10.5.1,VATAJACATURTHAKAJVARAH,vātajacaturthakajvaraḥ,(a) vātajacaturthakajvaraḥ,cāturthaka due to vāta ,the disorder is characterized by śirasi prathamaṁ jvarapīḍā [initial afflication of head] ,SP57,95.0
EC-3.10.5.2,PITTAJACATURTHAKAJVARAH,pittajacaturthakajvaraḥ,(a) vātajacaturthakajvaraḥ,cāturthaka due to pitta , ,SP57,81.63265306122449
EC-3.10.5.3,KAPAJACATURTHAKAJVARAH,kaphajacaturthakajvaraḥ,(a) kaphajacaturthakajvaraḥ,cāturthaka due to kapha ,the disorder is characterized by jaṅghābhyāṁ prathamaṁ jvarapīḍā [initial affliction of calf muscles pain] ,SP57,95.0
EC-3.10.6,CATURTHAKAVIPARYAYA-VISHAMAJVARAH,caturthakaviparyaya-viṣamajvaraḥ,(a) caturthakaviparyaya-viṣamajvaraḥ, viṣamajvara remitting on every fourth day ,"the disorder is characterized by jvaraḥ tryahād dvyahaṁ [fever spike on 2nd and 3rd day], jvaraḥ ādāvantē ca muñcati [patient is free from fever in the begining and at the end of four day period] ",SP57,95.0
EC-3.12,AMAJAJVARAH,āmajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,āma stage of jvara ,"the disorder is characterized by aruciḥ/arōcakaḥ [tastelessness], avipākaḥ [indigestion], udaragauravam [heaviness of abdomen], hr̥dayasya aviśuddhiḥ/hr̥dayāśuddhiḥ [a feeling of fullness in the precordium], tandrā [drowsiness/lassitude], ālasyam [lethargy], avisargī jvaraḥ [non subsiding fever], balavān jvaraḥ [hyperpyrexia], dōṣāṇām apravartanam/dōṣāpravr̥ttiḥ [supression of feces, urine etc.], lālāprasēkaḥ/lālāsrutiḥ [excessive salivation], hr̥llāsaḥ [nausea], kṣut nāśaḥ [loss of appetite], āsyavairasyam [distaste of mouth], stabdhatāḥ/gātrastabdhatāḥ/stanbhaḥ [stiffness of body parts], gātrasuptatā [numbness of the limbs], gātragauravam [heaviness of body parts], bahumūtratvam [frequent excessive micturition], viṭ na jīrṇā/śakr̥taḥ na paktiḥ [improperly formed fecal matter], aglāniḥ/na glāniḥ [absence of muscle wasting], hr̥dyōdvēṣṭanam [feeling as if heart is wrapped], vibandhaḥ [constipation], asvēdaḥ [anhidrosis/lack of sweating], aratiḥ [distress/dicontent/restlessness], svāpaḥ [sleepiness], vahnimārdavam [diminution of agni], mukhāśuddhiḥ [bad oral hygiene], prasaṁgaḥ [severe obstruction], jvarōpadravatīkṣṇatvam [exacerbation of comlications of fever] ",SP52,76.95
EC-3.14,NIRAMAJVARAH,nirāmajvaraḥ,(a) satata-viṣamajvaraḥ,nirāma stage of jvara ,"the disorder is characterized by kṣut [return of appetite], kṣāmatā [wasted/dried up/emaciated], gātra-laghutvam [feeling of lightness in the body/parts], jvaramārdavam [lessening of the fever/mild fever], dōṣapravr̥ttiḥ [passage of the excreta/], āmaviparītalakṣaṇāni [absence of clinical features of āmajvara] ",SP57,72.0
EC-3.15,ANTARVEGAJVARAH,antarvēgajvaraḥ,nan,internal jvara ,"the disorder is characterized by antardāhaḥ [burning sensation inside the body], adhika-tr̥ṣṇā [excessive thirst], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], śvāsaḥ [breathlessness/difficult breathing], bhramaḥ [giddiness or dizziness], sandhiśulaḥ [pain in the joints], asthiśūlaḥ [pain in the bones], asvēdaḥ [anhidrosis/lack of sweating], dōṣa-vinigrahaḥ [suppression of the dōṣa], varcō vinigrahaḥ [suppression of the stools], adhikajvaraḥ [high grade fever], adhikavikārāḥ (jvarasya) [pronounced symptoms of jvara (fever)], antakṣōbhaḥ [internal burning sensation], malagrahaḥ [constipation] ",nan,72.0
EC-3.17,BAHYAJVARAH,bāhyajvaraḥ,(a) satata-viṣamajvaraḥ,external jvara , ,SP57,70.00000000000001
EC-3.18,ANTARASRAYAJVARAH,antarāśrayajvaraḥ,nan,internal jvara , ,nan,72.0
EC-3.24,SAUMYA-JVARAH,saumya-jvaraḥ,(a) satata-viṣamajvaraḥ,mild jvara (fever) , ,SP57,73.63636363636364
EC-3.26,KOPAJAJVARAH,kōpajajvaraḥ,(a) kaphajajvaraḥ (b) Kapa curam (c) Ḥummā Lathiqa,fever due to anger , ,SP52,75.00000000000001
EC-4.2,PITTAJAKSHIRADOSHAH,pittajakṣīradōṣaḥ,pittakṣayaḥ,kśīradōṣa due to pitta ,"the disorder is characterized by amlatvam-stanyasya [sour taste of milk], kaṭutvam-stanyasya [pungent taste of milk], pītarājī-stanyē/pītarājī apsu [yellowish streaks in milk], dāhakr̥t (śiśōḥ) [cause burning sensation in child], uṣṇatā (stanyasya) [breast milk hot in nature], lavaṇatvam (stanyasya) [salty taste of milk] ",SR19,71.42857142857143
EC-4.5,STANYAVAHA-SROTODUSHTI,stanyavaha-srōtōduṣṭi,(a) stanyavahasrotoduṣṭiḥ,derangement of stanyavahasrōtas , ,SR5D,78.26086956521739
EC-5,PANDUROGAH,pāṇḍurōgaḥ,(a) pāṇḍurogaḥ (b) Veḷuppu nōy (c) Faqr al-Dam,anaemia ,"the disorder is characterized by karṇakṣvēḍaḥ [constant sound (flute like) in ear], hatānalaḥ [destroyed agni], daurbalyam [weakness], sadanam [exhaustion], annadvēṣaḥ [aversion to food], śramaḥ [exhaustion/fatigue], bhramaḥ [giddiness or dizziness], gātraśūlaḥ [body pain], jvaraḥ [fever], śavāsaḥ [difficulty in breathing], gauravaḥ [heaviness of the body], aruciḥ [tastelessness], gātraṁ mr̥ditairiva/ mr̥̄dyamāna iva aṅgaiḥ [rubbing type of pain in body], gātraṁ pīḍitairiva [squeezed type of pain in body], gātraṁ unmathitairiva [body feels as if being churned], śūnākṣikūṭaḥ [swelling of the orbits of eyes], haritavarṇatvam [greenish discoloration of body], śīrṇalōmatvam/śīrṇarōmatvam [fragility/falling of body hair], prabhāhāniḥ [loss of lustre], kōpanam [anger/irritability], śiśiradvēṣaḥ [aversion to cold], nidrālutvam [sleepy], ṣṭhīvanam [spitting/excess expectoration], alpavāktvam [reduced talking], piṇḍikōdvēṣṭanam [calf claudication/cramp in the calf muscles], kaṭiruk [low backpain], ūruruk [pain in thighs], pādaruk [pain in feet], kaṭisādaḥ [feeling of weakness of hip region], ūrusādaḥ [fatigue /weakness in thighs], pādasādaḥ [feeling of weakness of feet/legs], ārōhaṇāyāsaḥ [exertion /dyspnoea on climbing], dhātuśaithilyam [laxity/looseness of dhātu], ōjasaḥ guṇakṣayaḥ [decrease in qualities of ōjas], alparakta [reduced raktadhātu/depletion of rakta], alpamēdaḥ [reduced mēdōdhātu/depletion of mēdōdhātu], niḥsāraḥ [reduction in sāra of dhātu/sapless/weak], ślathēndriyaḥ [laxity of indiya, karmēndriya and dnyanēndriya], hr̥̄dayadravatvam [palpitation of heart], sannaskthiḥ [weakness of limbs/motionless] ",SL80,81.0
EC-6,AMAVATAH,āmavātaḥ,(a) āmavātaḥ (b) Vaḷikkīlvāyu (c) Ḥudār,rheumatism due to āma ,"the disorder is characterized by aṅgamardaḥ [generalised bodyache], aruciḥ [tastelessness], tr̥ṣṇā [thirst], ālasyam [lethargy], gauravam [heaviness], jvaraḥ [fever], apākaḥ [indigestion], śūnatā [oedema], gauravaṁ hr̥dayasya [heaviness of heart region], daurbalyam [weakness], stabdhaṁ ca kurutē gātram [stiffness of the whole body] ",SP11,90.0
ED-1,RAKTAVAHASROTODUSHTIH,raktavahasrōtōduṣṭiḥ,(a) raktavahasrotoduṣṭiḥ,derangement of raktavahasrōtas , ,SR51,81.81818181818181
ED-2.1,VIDAHAH,vidāhaḥ,(a) marmaviddhaḥ,burning sensation/heart burn , ,ST20,77.14285714285715
ED-2.2,KANDUH,kaṇḍūḥ,(a) kaṇḍūḥ (b) Pitta Viṭapākam (c) Ḥikka,pruritis , ,SP99,90.0
ED-2.4,KLAMAH,klamaḥ,(a) klamaḥ (b) Aẕal cūlai,fatigue without physical exertion/Sense-fatigue , ,SP97,90.0
ED-2.7,TAMAPRAVESAH/TAMAH-ATIDARSANAM,tamapravēśaḥ/tamaḥ-atidarśanam,"(a) tamapraveśaḥ, (a) tamaḥ-atidarśanam",fainting/blackout , ,SP98,81.84615384615385
ED-2.8,NIDRANASAH/ASVAPNAH,nidrānāśaḥ/asvapnaḥ,(a) asvapnaḥ,loss of sleep (insomnia) , ,SQ24,72.0
ED-2.9,PIDAKA,piḍakā,(a) sirājapiḍakā (c) Ramad Buthūrī,eruption , ,SK6T,90.0
ED-2.14,BUDDHISAMMOHAH,buddhisaṁmōhaḥ,(a) buddhisaṁmōhaḥ (b) Piramai (c) khiyAlAt-e bAteleh,misapprehension , ,SQ01,90.0
ED-2.17,SVARAKSHAYAH,svarakṣayaḥ,mūtrakṣayaḥ,feeble voice , ,SR83,72.72727272727273
ED-2.19,SIRORUK,śirōruk,(a) śiroruk,headache/cephalgia/cephalalgia , ,SK00,77.14285714285715
ED-2.20,SANTAPAH,santāpaḥ,(a) mana-santāpaḥ (b) Paya Curam (c) Ḥummā al-Yawm Fikriyya,burning sensation , ,SQ10,90.0
ED-2.21,RAKTAPAKAH,raktapākaḥ,(a) meḍhrapākaḥ (b) Aiya Kallaṭaippu (c) Waram al-Qaḍīb,"swelling cold to touch, same in color as skin, of mild pain, hard on touch is known by rakthapāka ","the disorder is characterized by aspaṣṭapakvaliṅgam [unclear signs of suppuration], śītaśōphatā [cold-swelling], tvak-sāvarṇyam [colour same as that of skin], alparujā [mild pain], aśmavat ghanasparśatvam [stony hard on touch] ",SN00,70.41176470588235
ED-3,KAMALA,kāmalā,(a) kāmalā (b) Mañcaḷ nōy (c) Yarqān Aṣfar,jaundice , ,SM41,90.0
ED-3.1,KOSHTHASRITA-KAMALA,kōṣṭhāśrita-kāmalā,(a) koṣṭhāśrita-kāmalā,kāmalā affecting kōṣṭha ,"the disorder is characterized by hāridranētraḥ (bhr̥śaṁ) [excessively yellow coloured eyes], hāridra-tvak [yellow coloured skin], hāridra-nakhaḥ [yellow coloured nail], hāridānanaḥ [turmeric yellow dis colouration of the face], raktaśakr̥t [reddish faeces], raktamutram [reddish urine], pītaśakr̥t [yellowish faeces], pītamutratvam [yellowish urine], bhēkavarṇaḥ (dēhaḥ) [body colour resembles toad in colour], hatēndriyaḥ [loss of functioning of sensory and motor organs], dāhakarśitaḥ/dāhaḥ [burning sensations], avipākakarśitaḥ/avipākaḥ [indigestion], daurbalyakarśitaḥ [weakness], sadanakarśitaḥ [exhaustion], arucikarśitaḥ [tastelessness], pāṇḍuvadanam [whitishness (pallor) of face], indriyabalakṣayaḥ/durbalēndriyaḥ [extreme weakness of sensory organs], hāridramūtraḥ [yellowish discoluration of urine], hāridravaktram [yellow coloured face], hāridraśakr̥t [yellow coloured feces], tr̥ṣṇā [thirst], bhēkābhaḥ [appearance like that of frog] ",SM41,85.0
ED-3.2,KUMBAKAMALA,kumbhakāmalā,(a) kumbhakāmalā,kāmalā with dry and hardened bodily tissues ,"the disorder is characterized by mahān śōphaḥ/śōphāḍhyaḥ [excessive swelling], parvabhēdaḥ [breaking type of pain in small joints] ",SM41,95.0
ED-3.3,SAKHASRITA-KAMALA,śākhāśrita-kāmalā,(a) śākhāśrita-kāmalā,kāmalā afflicting śākhā ,"the disorder is characterized by hāridranētraḥ [yellow coloured eyes], hāridramūtraḥ [yellowish discoluration of urine], hāridratvak [yellow coloured skin], śvētavarcaḥ [whitish stools (stetorrhoea)], āṭōpaḥ [gurgling sound of the intestines/barborygmus], viṣṭambhaḥ [constipation/fullness in the abdomen], hr̥dayagurutā [heaviness of heart region], daurbalyam kramēṇa anuṣajjatē [when pitta gets entered into tvaca and dhātu, gradually develop weakness,], pārśvartiḥ kramēṇa anuṣajjatē [pain in sides of chest], hikkā kramēṇa anuṣajjatē [hiccup], śvāsaḥ kramēṇa anuṣajjatē [gradual breathlessness], aruciḥ kramēṇa anuṣajjatē [tastelessness], jvaraḥ kramēṇa anuṣajjatē [fever] ",SM41,95.0
